date,base_pool,plus_soymeal_159985,plus_energy_159930,plus_coal_515220,plus_resource_510410,replace_cyb50_soymeal,replace_cyb50_energy,replace_cyb50_coal,replace_cyb50_resource,replace_nikkei_soymeal,replace_nikkei_energy,replace_nikkei_coal,replace_nikkei_resource
2012-11-23,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-11-26,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-11-27,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-11-28,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-11-29,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-11-30,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-12-03,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-12-04,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-12-05,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-12-06,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-12-07,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-12-10,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-12-11,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-12-12,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-12-13,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579,0.9990002500000001,0.9990002500000001,0.9990002500000001,0.9776738042794579
2012-12-14,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9771849673773183,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9771849673773183,0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9771849673773183
2012-12-17,1.0014179056551025,1.0014179056551025,1.0014179056551025,1.0014179056551025,0.980039848333763,1.0014179056551025,1.0014179056551025,1.0014179056551025,0.980039848333763,1.0014179056551025,1.0014179056551025,1.0014179056551025,0.980039848333763
2012-12-18,0.985998653674562,0.985998653674562,0.985998653674562,0.985998653674562,0.9649497632782702,0.985998653674562,0.985998653674562,0.985998653674562,0.9649497632782702,0.985998653674562,0.985998653674562,0.985998653674562,0.9649497632782702
2012-12-19,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9673968040980795,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9673968040980795,0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9673968040980795
2012-12-20,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9739222462842386,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9739222462842386,0.9951668575548831,0.9951668575548831,0.9951668575548831,0.9739222462842386
2012-12-21,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9698438449178893,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9698438449178893,0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9698438449178893
2012-12-24,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9706595251911592,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9706595251911592,0.9918329652347664,0.9918329652347664,0.9918329652347664,0.9706595251911592
2012-12-25,1.0193375768757307,1.0193375768757307,1.0193375768757307,1.0193375768757307,0.9975769742090654,1.0193375768757307,1.0193375768757307,1.0193375768757307,0.9975769742090654,1.0193375768757307,1.0193375768757307,1.0193375768757307,0.9975769742090654
2012-12-26,1.0222547326558329,1.0222547326558329,1.0222547326558329,1.0222547326558329,1.00043185516551,1.0222547326558329,1.0222547326558329,1.0222547326558329,1.00043185516551,1.0222547326558329,1.0222547326558329,1.0222547326558329,1.00043185516551
2012-12-27,1.02017104995576,1.02017104995576,1.02017104995576,1.02017104995576,0.9983926544823354,1.02017104995576,1.02017104995576,1.02017104995576,0.9983926544823354,1.02017104995576,1.02017104995576,1.02017104995576,0.9983926544823354
2012-12-28,1.0351735653962857,1.0351735653962857,1.0351735653962857,1.0351735653962857,1.013074899401193,1.0351735653962857,1.0351735653962857,1.0351735653962857,1.013074899401193,1.0351735653962857,1.0351735653962857,1.0351735653962857,1.013074899401193
2012-12-31,1.0518430269968702,1.0518430269968702,1.0518430269968702,1.0518430269968702,1.0293885048665907,1.0518430269968702,1.0518430269968702,1.0518430269968702,1.0293885048665907,1.0518430269968702,1.0518430269968702,1.0518430269968702,1.0293885048665907
2013-01-04,1.0543434462369576,1.0543434462369576,1.0543434462369576,1.0543434462369576,1.0318355456864003,1.0543434462369576,1.0543434462369576,1.0543434462369576,1.0318355456864003,1.0543434462369576,1.0543434462369576,1.0543434462369576,1.0318355456864003
