date,baseline,leader_margin_005,leader_margin_010,leader_margin_015,cash_tail_soft,cash_tail_mid,cash_tail_strict,hs300_benchmark
2025-08-19,16.77029266273625,10.247393543612192,10.13617747928879,9.077108901577827,11.158184684944372,11.181879096732645,11.409318366980015,2.0115800399298913
2025-08-20,16.836040665583926,10.287568493056202,10.175916405685326,9.112695745165578,11.205067813872711,11.228861782013038,11.45725667944632,2.039148732695481
2025-08-21,16.759868766363446,10.24102408002929,10.129877144179243,9.071466850812373,11.151249101695852,11.174928785768989,11.402226686784955,2.04569045640257
2025-08-22,17.33616308172764,10.59316549850349,10.478196733962932,9.383392609361866,11.534688945772373,11.559182864581548,11.794296488386024,2.0928843202894263
2025-08-25,17.773837574345414,10.860604049520603,10.74273274562056,9.62028883489775,11.82589750836174,11.851009808726076,12.092059188644582,2.1330691944901163
2025-08-26,17.66680649036185,10.795203304224366,10.67804180164743,9.562357060854742,11.75468392693319,11.779645005215176,12.0192428259913,2.1218548109922493
2025-08-27,17.514018920923,10.70184331438407,10.585695057818533,9.479659076120972,11.653026075657248,11.67777128343183,11.91529699407876,2.091015256373115
2025-08-28,18.20126667513167,11.121782211156479,11.001076312576263,9.851639627252217,12.110289256449134,12.136005462858998,12.38285165054469,2.1302655986156496
2025-08-29,18.578593012993625,11.352345359707433,11.22913713447696,10.055871737513296,12.361344920713877,12.387594243975528,12.639557744081124,2.1498907697369165
2025-09-01,18.907897124297374,11.55356479528456,11.428172713876902,10.234111279312309,12.584853493491426,12.611577437339768,12.868096752582137,2.1568997594230837
2025-09-02,18.779424021161397,11.475062024099847,11.350521941711499,10.164573772034325,12.499343446012753,12.525885809224622,12.78066215790509,2.1447508439670613
2025-09-03,18.914626662388933,11.557676841900427,11.432240132008562,10.237753717243645,12.584926321212642,12.611650419710694,12.868171219413503,2.125592938824872
2025-09-04,18.15258304117264,11.092034348889301,10.971651307057908,9.825289064619962,12.077897396046119,12.103544818321229,12.349730756934154,2.0821372027706375
2025-09-05,19.322252403622535,11.806754271432046,11.678614297407073,10.458385719241162,12.860643045882256,12.887952629008469,13.150093411927587,2.127929268720261
2025-09-08,19.23578342210773,11.75391788385567,11.626351348828068,10.411583413664083,12.798609320658633,12.825787175132588,13.086663513557017,2.1283965346993385
2025-09-09,19.13123415107921,11.69003363648606,11.563160444066456,10.354994948704546,12.733503750219842,12.760543352976404,13.020092632936779,2.115780353264238
2025-09-10,19.29771810879244,11.791762727784292,11.663785458594997,10.445106257130698,12.83981782466809,12.86708318542472,13.128799484142382,2.1204530130550157
2025-09-11,20.266902693914588,12.383977548353126,12.249572908018443,10.969688278554342,13.490739693351536,13.519387287081903,13.794371442443055,2.1774594625025063
2025-09-12,20.243811341003248,12.36986770629517,12.235616201593976,10.957189824933034,13.469304931809711,13.497907008811248,13.772454255601637,2.1592360893184726
2025-09-15,20.26647424893529,12.383715749444608,12.249313950441637,10.969456377906356,13.485732366059013,13.514369326726909,13.789251416842013,2.1629742171510937
2025-09-16,20.31190544673059,12.411476228783208,12.276773142312098,10.994046523004624,13.514611631158504,13.543309916962947,13.818780658293726,2.158768823339394
2025-09-17,20.405619797545317,12.46873985875053,12.333415283944193,11.044770465937122,13.576964868221795,13.605795561162077,13.882537259654407,2.174188600648961
2025-09-18,20.309432441422604,12.409965112720057,12.275278426554115,10.992707981158858,13.512966206686293,13.541660998430894,13.817098200780936,2.1466199078833714
2025-09-19,20.30603636302798,12.407889958009608,12.27322579372094,10.990869815657144,13.515437014612637,13.544137053119332,13.819624618388394,2.1512925676741492
2025-09-22,20.435092375911484,12.48674891293562,12.351228883927186,11.060722829370492,13.596574572069237,13.625446906227255,13.902588312813577,2.158301557360316
2025-09-23,20.539171997552952,12.55034618367379,12.414135926645605,11.117057091334438,13.665824385627657,13.694843771805788,13.973396709703449,2.1597033552975495
2025-09-24,20.880740784161897,12.759059880505893,12.62058443127705,11.301935026131513,13.893088612927858,13.922590594827286,14.205775900038264,2.178861260439739
2025-09-25,21.16319005603574,12.93164892848532,12.791300351755332,11.454813860838263,14.085947504329967,14.115859022199531,14.402975404620623,2.1938137717702286
2025-09-26,21.025634121426428,12.84759614392461,12.708159801106053,11.38036016920523,13.99439204087264,14.024109140661318,14.309359331727467,2.1732540686908055
2025-09-29,21.59998143184131,13.198547855913171,13.055302596416553,11.69123208949965,14.37163839981133,14.402156582466684,14.695096253408199,2.209233549079795
2025-09-30,21.59640035022832,13.196359656020771,13.053138145292944,11.689293788932076,14.36925571211391,14.399768835130528,14.692659939323379,2.215308006807806
2025-10-09,21.75276078101755,13.291902822807971,13.147644371814522,11.773925624924132,14.473290781701003,14.504024823249518,14.79903649283675,2.2503529552386405
2025-10-10,20.838358143419356,12.73316220490531,12.594967825935278,11.278994946712904,13.864889144835582,13.89433124514781,14.17694175556686,2.2050281552680953
2025-10-13,20.544378710610378,12.55352771656896,12.426229815489215,11.127887362045596,13.679137673161533,13.708185330113627,13.987009635127606,2.192411973832995
2025-10-14,20.34209179583453,12.429921428585846,12.016399615542559,10.76087786919956,13.534696245365286,13.563437180859893,13.839317310467294,2.1704504728163383
2025-10-15,20.688119025061987,12.641359431846125,12.220803445098943,10.943924764794469,13.764926916194234,13.794156746654728,14.074729709123424,2.198953697540084
2025-10-16,20.905188652340335,12.773998613631491,12.349029952576785,11.058753651208859,13.90935510474015,13.938891628544576,14.22240849656185,2.2059626872262506
2025-10-17,20.559864858078907,12.56299044037324,12.145041653327716,10.876078869644026,13.67959246732139,13.708641090029152,13.987474665193679,2.160637887255704
2025-10-20,21.226914622911107,12.970587468694523,12.539078639205382,11.228945286927004,14.123416831018092,14.153407915025074,14.44128804142059,2.1681141429209485
2025-10-21,21.387706872467128,13.0688386735542,12.63406119779077,11.314003685893649,14.230400629842329,14.260618894009488,14.550679690273796,2.200822761456394
2025-10-22,21.600469353109272,13.198845997475253,12.759743404726521,11.426554110516493,14.371963040277008,14.40248191230658,14.695428200452662,2.1938137717702273
2025-10-23,21.561554187758446,13.175067103320904,12.736755592919664,11.405968157714643,14.3460706715055,14.37653456107465,14.66895308044609,2.202224559393627
2025-10-24,21.661243850384043,13.235981914153296,12.795643874207093,11.458703554600199,14.412399607387929,14.443004346491717,14.736774860403429,2.228858720201061
2025-10-27,22.32098085386073,13.63911052054495,13.185361094761559,11.807701553009489,14.851358394591559,14.88289526294,15.185613152168504,2.255025615029417
2025-10-28,22.351882064003373,13.657992532187427,13.20361493479948,11.82404815844677,14.871918644593997,14.903499172645496,15.20663614511995,2.24381123153155
2025-10-29,22.960048853800114,14.02960944791665,13.562868803695883,12.145765738663668,15.276564973449092,15.309004768219618,15.62038971904733,2.2718471902762176
2025-10-30,22.82942603868399,13.949793107248745,13.485707813513748,12.076666838978067,15.189654534588852,15.221909774990975,15.531523214829276,2.253623817092184
2025-10-31,23.223298857984652,14.190466890746533,13.718374799874821,12.28502384311663,15.45171946980027,15.484531205247555,15.799486361440698,2.222316996493972
2025-11-03,23.536410478475013,14.381791995368731,13.903334851861842,12.450658525200499,15.660049602058297,15.69330372666484,16.012505313132188,2.225587858347516
2025-11-04,22.513859228874136,13.756967772923533,13.299297441850122,11.909733372448724,14.979690831801417,15.011500214156294,15.316833926360687,2.2097008150588713
2025-11-05,22.12756060782734,13.520922160910024,13.071104655777754,11.70538308616322,14.722665421221839,14.753929009965095,15.054023727344807,2.212504410933339
2025-11-06,22.58986841564738,13.803412761419532,13.344197286560622,11.949941900854418,15.030263863579975,15.062180637797791,15.368545189136567,2.245213029468784
2025-11-07,22.330136351999997,13.644704936480775,13.190769394233659,11.812544771607513,14.857450043746114,14.888999847715143,15.191841904115767,2.240540369678006
2025-11-10,22.67281773934886,13.854098481772779,13.393196781373643,11.993821731436398,15.085454544623305,15.11748851628501,15.424978029127416,2.2461475614269397
2025-11-11,22.70266381225478,13.872335757707615,13.410827334936751,12.009610173875814,15.10531275463204,15.13738889521446,15.445283181496306,2.2255878583475166
2025-11-12,22.644013939629858,13.836498081039888,13.37618191528497,11.978584646968589,15.066289815458683,15.098283090806653,15.40538196555346,2.226522390305672
2025-11-13,22.70655228662787,13.874711788226978,13.413124319063595,12.011667159865567,15.107899967393926,15.139981601924179,15.447928623825586,2.248483891322328
2025-11-14,22.25627954973468,13.599575150501122,13.14714099754498,11.773474845222193,14.823132242285617,14.854609172382911,15.156751722910402,2.215308006807805
