date,nav,drawdown,signal,holding,exposure,current_momentum,effective_momentum,absolute_momentum_threshold
2023-09-12,4.973415542503596,-0.01586493516727938,159985,159985,0.8,0.08356676003734842,0.01895734597156351,0.05
2023-09-13,4.909988959109323,-0.02841573134093245,159985,159985,0.8,0.044352994970279,0.009489916963226097,0.05
2023-09-14,4.889351527407287,-0.032499448056837466,159985,159985,0.8,0.037442922374429255,0.02514970059880217,0.05
2023-09-15,4.971988454631072,-0.01614732605216429,159985,159985,0.8,0.05167724388032635,0.029868578255674683,0.05
2023-09-18,4.94112783663681,-0.02225399782149573,159985,159985,0.8,0.03740423614240651,0.01923076923076872,0.05
2023-09-19,4.849669835617633,-0.04035162609994225,518880,518880,0.8,0.02888738433762139,0.015371477369769515,0.05
2023-09-20,4.8794550418903455,-0.0344577558500625,518880,518880,0.8,0.036318520189488,0.011947431302269607,0.05
2023-09-21,4.867559113185693,-0.03681171169126407,518880,518880,0.8,0.03409347482501679,0.0012033694344157908,0.05
2023-09-22,4.851404768530578,-0.040008319110978685,518880,518880,0.8,0.0316670436552815,0.008567931456547884,0.05
2023-09-25,4.86452877041526,-0.03741135323606515,512890,512890,0.8,0.031216361679224924,0.006105006105005861,0.06
2023-09-26,4.852033532610368,-0.03988389983148355,518880,518880,1.0,0.033175355450236976,0.033175355450236976,0.06
2023-09-27,4.7767200731031725,-0.05478686052750037,512890,512890,0.8,0.014909478168264156,0.002653927813163426,0.06
2023-09-28,4.772232963613305,-0.055674765781139945,512890,512890,1.0,0.018181818181818077,0.018181818181818077,0.06
2023-10-09,4.756718694916786,-0.05874471553679539,512890,512890,0.8,0.016059957173447437,0.0048661800486615725,0.06
2023-10-10,4.704590270862903,-0.06905984194187154,512890,512890,0.8,-0.00952380952380949,0.005995203836930196,0.05
