base_pool,plus_510500_risk,plus_588000_risk,plus_510050_risk,plus_511380_defensive,plus_513660_defensive,plus_513300_defensive
0.9985007498750001,0.9985007498750001,0.9985007498750001,0.9882525226030965,0.9985007498750001,0.9985007498750001,0.9985007498750001
1.0014179056551025,1.0014179056551025,1.0014179056551025,0.9945544227472322,1.0014179056551025,1.0014179056551025,1.0014179056551025
0.985998653674562,0.985998653674562,0.985998653674562,0.9974189228127485,0.985998653674562,0.985998653674562,0.985998653674562
0.9884990729146492,0.9884990729146492,0.9884990729146492,0.9968460227996453,0.9884990729146492,0.9884990729146492,0.9884990729146492
0.9951668575548831,0.9951668575548831,0.9951668575548831,1.0014292229044712,0.9951668575548831,0.9951668575548831,0.9951668575548831
0.9909994921547371,0.9909994921547371,0.9909994921547371,0.9939815227341291,0.9909994921547371,0.9909994921547371,0.9909994921547371
0.9918329652347664,0.9918329652347664,0.9918329652347664,1.0008563228913678,0.9918329652347664,0.9918329652347664,0.9918329652347664
1.0193375768757307,1.0193375768757307,1.0193375768757307,1.0271950490694954,1.0193375768757307,1.0193375768757307,1.0193375768757307
1.0222547326558329,1.0222547326558329,1.0222547326558329,1.0305220097738554,1.0222547326558329,1.0222547326558329,1.0222547326558329
1.02017104995576,1.02017104995576,1.02017104995576,1.0231094234099556,1.02017104995576,1.02017104995576,1.02017104995576
1.0351735653962857,1.0351735653962857,1.0351735653962857,1.0391405200474924,1.0351735653962857,1.0351735653962857,1.0351735653962857
