date,entry_risk_score,entry_risk_level
2016-04-19,59.85398935015473,中
2016-04-20,46.91151166583158,中
2016-04-21,50.732006637843575,中
2016-04-22,43.07269927510005,中
2016-04-25,41.08562542768239,中
2016-04-26,42.83591969713883,中
2016-04-27,45.950177634316205,中
2016-04-28,50.313011620092595,中
2016-04-29,59.667641486008534,中
2016-05-03,67.57705978944861,中
2016-05-04,62.16105974364376,中
2016-05-05,60.519747294319096,中
2016-05-06,59.660354992471994,中
2016-05-09,59.37230596736457,中
2016-05-10,56.29903310472169,中
2016-05-11,58.99963735330906,中
2016-05-12,57.402153071929774,中
2016-05-13,61.224415343308934,中
2016-05-16,62.19877983678214,中
2016-05-17,58.53007197579323,中
2016-05-18,57.338680239011886,中
2016-05-19,52.12211853478148,中
2016-05-20,52.984455802204586,中
2016-05-23,52.55120020813582,中
2016-05-24,50.490688582770495,中
2016-05-25,,
2016-05-26,40.66883709086546,中
2016-05-27,37.22105993616166,低
2016-05-30,35.4532537374865,低
2016-05-31,39.600223335199516,低
2016-06-01,40.53540767936132,中
2016-06-02,38.81181878160855,低
2016-06-03,37.05171492303323,低
2016-06-06,41.035338376378114,中
2016-06-07,39.86463152171562,低
2016-06-08,43.53140117480195,中
2016-06-13,56.12616848712889,中
2016-06-14,54.59556131810706,中
2016-06-15,57.33659594304723,中
2016-06-16,64.81754041474441,中
2016-06-17,55.17826540424472,中
2016-06-20,56.162226326271416,中
2016-06-21,53.59074077528263,中
2016-06-22,46.737266404832035,中
2016-06-23,48.44021707612386,中
2016-06-24,67.40432805357392,中
2016-06-27,78.16242143565995,高
2016-06-28,76.24859709042713,高
2016-06-29,79.10023155805492,高
2016-06-30,78.29601003689565,高
2016-07-01,87.94244128349322,高
2016-07-04,69.88587495865035,中
2016-07-05,70.70459808137612,高
2016-07-06,72.92259345021502,高
2016-07-07,92.54217664571618,高
2016-07-08,89.95099117981964,高
2016-07-11,92.60172014555079,高
2016-07-12,90.14954282866911,高
2016-07-13,83.24059484560308,高
2016-07-14,79.5009871345906,高
2016-07-15,77.50560959213095,高
2016-07-18,74.31523693632592,高
2016-07-19,69.73409633487971,中
2016-07-20,64.96837213125113,中
2016-07-21,74.50384478272139,高
2016-07-22,63.96959972936591,中
2016-07-25,66.73731404264605,中
2016-07-26,71.2482059440266,高
2016-07-27,68.55402249301774,中
2016-07-28,74.95948193238924,高
2016-07-29,75.91730479235767,高
2016-08-01,77.4007654256079,高
2016-08-02,84.93272132695355,高
2016-08-03,74.44370211402843,高
